video_id,title,view_count,views_per_day,label,AI_Score
rAO8xk2l05Q,lionel messi wins his th ballon dor cbs sports golazo,4378555.0,1459518.3333333333,0,0.040770512149343255
iXizeL7vqqQ,manchester united newcastle united carabao cup highlights,3449343.0,3449343.0,1,0.13385209060483239
VdevUOdi8e8,billie eilish when the party s over feat boygenius live from electric ballroom,293812.0,293812.0,0,0.06374693701950955
j_v3WS7_5AY,antonio pierce and champ kelly presser raiders nfl,199132.0,199132.0,0,0.059887315341120836
g4jrTlJXoiI,ten hag in trouble manchester united newcastle goldbridge reaction,385455.0,385455.0,0,0.10229591531937889
YgUQ-gwzHwg,we played golf from space,598208.0,99701.33333333331,0,0.054800273106639
L-J4R6wJcMo,rich eisen what led to the raiders firing hc josh mcdaniels the rich eisen show,267452.0,267452.0,0,0.10299740270096906
phrMmQUl1aI,minecraft secrets you didn t know existed,332418.0,332418.0,0,0.023893293269557817
WwaXV6rbnxE,i tried every fast food fried chicken sandwich in america,1460569.0,1460569.0,0,0.02
cEvP5DgNNeI,ariel helwani chael sonnen clash over francis ngannou pay the mma hour,494051.0,494051.0,0,0.07332400664516994
E72wnbus4aE,best chandler moments mashup friends tbs,380180.0,380180.0,0,0.1345316042505351
mTB5LsvPSvk,man tough times ahead for destiny bungie the community,205461.0,205461.0,0,0.06978638835914726
iGy6i1uFozQ,our first look at fortnite chapter,2169819.0,2169819.0,1,0.03
JCvt9X5bxiE,gunners hammered west ham united v arsenal carabao cup extended highlights,910760.0,910760.0,0,0.055382675751362125
t5khm-VjEu4,the boy and the heron official english trailer,255084.0,255084.0,0,0.21364207162104706
P9zxw9W6hyw,titan cameraman cured iso me episode skibidi toilet multiverse easter egg analysis theory,571547.0,571547.0,0,0.1389313111593717
yOPRFVZklWA,we escaped the backrooms,1845025.0,1845025.0,1,0.1
bO_rYiYmRFQ,fc bayern is out fc saarbrucken vs fc bayern munchen highlights dfb pokal round,1231366.0,1231366.0,0,0.055
cIDK50IaVpg,tekken victor chevalier reveal gameplay trailer,477134.0,477134.0,0,0.10493601862193337
jH3wmjaoADY,green day look ma no brains official music video,283718.0,283718.0,0,0.085
